"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"East Asia & Pacific","KIR","Kiribati","HIB3","95.0","90.0","81.0","82.0","75.0","95.0","94.0","95.0","91.0","86.0","83.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","HIB3","99.0","99.0","99.0","99.0","95.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","99.0","99.0","98.0","94.0","94.0","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KGZ","Kyrgyzstan","HIB3","92.0","92.0","96.0","97.0","96.0","97.0","96.0","96.0","96.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","LAO","Lao People's Democratic Republic","HIB3","68.0","69.0","66.0","81.0","88.0","87.0","79.0","78.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LVA","Latvia","HIB3","96.0","98.0","98.0","94.0","92.0","94.0","90.0","91.0","90.0","94.0","94.0","94.0","96.0","99.0","98.0","96.0","87.0","84.0","79.0","76.0","47.0","67.0","35.0","58.0","10.0","","","","","","","","","","","","","",""
"Middle East & North Africa","LBN","Lebanon","HIB3","85.0","85.0","85.0","85.0","85.0","85.0","84.0","83.0","83.0","82.0","81.0","80.0","78.0","77.0","75.0","74.0","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","LSO","Lesotho","HIB3","93.0","93.0","93.0","93.0","93.0","93.0","95.0","96.0","94.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","HIB3","84.0","86.0","79.0","52.0","50.0","76.0","80.0","77.0","47.0","64.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","HIB3","97.0","96.0","97.0","97.0","94.0","96.0","98.0","98.0","98.0","98.0","98.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LTU","Lithuania","HIB3","92.0","94.0","94.0","93.0","93.0","93.0","93.0","92.0","95.0","98.0","96.0","95.0","94.0","61.0","35.0","10.0","5.0","4.0","2.0","2.0","","","","","","","","","","","","","","","","","","",""
