"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Middle East & North Africa","LBN","Lebanon","PCV3","82.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","LSO","Lesotho","PCV3","93.0","93.0","93.0","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","PCV3","84.0","86.0","79.0","56.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","PCV3","96.0","94.0","96.0","71.0","39.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LTU","Lithuania","PCV3","82.0","82.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LUX","Luxembourg","PCV3","96.0","95.0","95.0","95.0","95.0","95.0","95.0","86.0","86.0","86.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","PCV3","75.0","74.0","76.0","69.0","72.0","76.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","PCV3","92.0","88.0","83.0","88.0","87.0","89.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","PCV3","68.0","65.0","63.0","60.0","57.0","59.0","58.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","PCV3","67.0","72.0","65.0","75.0","29.0","38.0","46.0","35.0","24.0","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","PCV3","77.0","77.0","73.0","71.0","71.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","PCV3","96.0","84.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","PCV3","88.0","92.0","92.0","93.0","94.0","84.0","99.0","98.0","92.0","46.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FSM","Micronesia (Federated States of)","PCV3","67.0","65.0","63.0","67.0","64.0","61.0","60.0","63.0","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MCO","Monaco","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MNG","Mongolia","PCV3","26.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MNE","Montenegro","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","MAR","Morocco","PCV3","99.0","99.0","98.0","95.0","90.0","80.0","72.0","23.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MOZ","Mozambique","PCV3","80.0","80.0","80.0","80.0","73.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MMR","Myanmar","PCV3","91.0","89.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","NAM","Namibia","PCV3","61.0","67.0","84.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NRU","Nauru","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","NPL","Nepal","PCV3","82.0","80.0","46.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NLD","Netherlands","PCV3","93.0","93.0","94.0","94.0","95.0","96.0","96.0","96.0","96.0","96.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NZL","New Zealand","PCV3","96.0","94.0","93.0","93.0","93.0","93.0","92.0","92.0","89.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","NIC","Nicaragua","PCV3","98.0","98.0","98.0","98.0","98.0","98.0","98.0","61.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NER","Niger","PCV3","79.0","85.0","76.0","49.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NGA","Nigeria","PCV3","57.0","57.0","57.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NIU","Niue","PCV3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NOR","Norway","PCV3","94.0","94.0","94.0","93.0","91.0","93.0","93.0","92.0","91.0","91.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","OMN","Oman","PCV3","99.0","99.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","96.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","PAK","Pakistan","PCV3","79.0","79.0","78.0","80.0","68.0","65.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PLW","Palau","PCV3","89.0","89.0","98.0","95.0","93.0","93.0","82.0","61.0","45.0","18.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PAN","Panama","PCV3","92.0","90.0","83.0","82.0","75.0","68.0","62.0","55.0","48.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PNG","Papua New Guinea","PCV3","43.0","44.0","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PRY","Paraguay","PCV3","94.0","93.0","99.0","90.0","86.0","90.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PER","Peru","PCV3","82.0","80.0","86.0","90.0","86.0","85.0","89.0","82.0","83.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PHL","Philippines","PCV3","43.0","36.0","36.0","17.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","POL","Poland","PCV3","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","PRT","Portugal","PCV3","98.0","96.0","73.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","QAT","Qatar","PCV3","98.0","98.0","97.0","95.0","94.0","99.0","92.0","98.0","97.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KOR","Republic of Korea","PCV3","97.0","97.0","98.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MDA","Republic of Moldova","PCV3","94.0","78.0","77.0","71.0","28.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MKD","Republic of North Macedonia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ROU","Romania","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","RUS","Russian Federation","PCV3","82.0","70.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","RWA","Rwanda","PCV3","97.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","KNA","Saint Kitts and Nevis","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","LCA","Saint Lucia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","VCT","Saint Vincent and the Grenadines","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","WSM","Samoa","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","SMR","San Marino","PCV3","58.0","56.0","53.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","STP","Sao Tome and Principe","PCV3","95.0","95.0","96.0","96.0","95.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","SAU","Saudi Arabia","PCV3","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SEN","Senegal","PCV3","81.0","92.0","93.0","89.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","SRB","Serbia","PCV3","48.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SYC","Seychelles","PCV3","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SLE","Sierra Leone","PCV3","90.0","90.0","84.0","86.0","83.0","92.0","92.0","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","SGP","Singapore","PCV3","82.0","83.0","78.0","75.0","68.0","60.0","52.0","40.0","22.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","SVK","Slovakia","PCV3","96.0","96.0","96.0","96.0","96.0","98.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","SVN","Slovenia","PCV3","60.0","55.0","50.0","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","SLB","Solomon Islands","PCV3","84.0","81.0","87.0","42.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SOM","Somalia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ZAF","South Africa","PCV3","73.0","68.0","77.0","85.0","85.0","77.0","75.0","62.0","58.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SSD","South Sudan","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ESP","Spain","PCV3","93.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","LKA","Sri Lanka","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
