"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","LSO","Lesotho","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LTU","Lithuania","HEPBB","97.0","97.0","97.0","97.0","97.0","98.0","96.0","96.0","98.0","98.0","92.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LUX","Luxembourg","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","HEPBB","95.0","90.0","88.0","88.0","90.0","87.0","91.0","95.0","95.0","95.0","99.0","90.0","90.0","90.0","95.0","90.0","90.0","97.0","92.0","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","HEPBB","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","HEPBB","94.0","97.0","99.0","99.0","87.0","92.0","96.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","HEPBB","98.0","98.0","98.0","98.0","90.0","82.0","90.0","98.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
